period,month,sales_value,total_incomes,cogs,gross_profit,gross_margin,cogs_ratio,operational_expenses,staff_salary,foodmandu_charges,total_expenses,profit,profit_margin,bread_income,salary_to_sales,net_sales,cash_pct,foodmandu_pct,pokhara_pct,credit_pct,discount_pct,cash_sales,foodmandu_sales,credit_sales,creditor_total,debtor_total,wastage_units,sales_mom_pct,cogs_mom_pct,profit_mom_pct,margin_pressure,liquidity_proxy,platform_dependency,credit_exposure,stress
2026-01,Jan,2142381.4,2357582.4,1124957.2887500003,1232625.1112499996,0.5228343710277102,0.4771656289722897,128733.5,392496.0,48181.0,727858.47,504766.64124999964,0.21410349909721063,143290.0,0.18320547405798054,2423015.958300001,0.7426418938084463,0.11203178793360236,0.08718162968609117,0.05546208139474514,0.005878596533230356,1799433.16,271454.81,134385.50830000106,611189.21,250600.54,344.0,,,,,1799433.16,0.11203178793360236,0.05546208139474514,0
2026-02,Feb,1916459.53,2052138.61,1096534.9385000002,955603.6714999999,0.4656623421261003,0.5343376578738998,182490.0,398076.0,53798.0,780567.84,175035.83149999997,0.08529435129140714,135679.08,0.20771427403948362,2172206.7631,0.6822402154227046,0.09768628088477752,0.09930819830988123,0.12016683565034245,0.026347776806076254,1481966.81,212194.8,261027.21310000005,619906.85,306319.64,194.0,-0.10545361810926845,-0.025265270543365914,-0.6532341537734292,0.08018834756590254,1481966.81,0.09768628088477752,0.12016683565034245,1
2026-03,Mar,2300768.9699999997,2558114.3299999996,1256775.7532999997,1301338.5766999999,0.5087100922107731,0.4912899077892269,213344.91,524754.0,39595.0,1251421.05,49917.52669999981,0.019513407244780893,0.0,0.22807765874902253,2599868.936099998,0.743529576879274,0.07985974874235513,0.09731738646007979,0.0787932627124243,0.020576013876813314,1933079.45,207624.88,204852.15609999822,838360.96,452503.56,229.0,0.20053094468423227,0.14613379763275058,-0.7148153822436075,-0.05439714705148169,1933079.45,0.07985974874235513,0.0787932627124243,1
2026-04,Apr,2313740.2800000003,2498482.2800000003,1301754.0809000004,1196728.1990999999,0.47898206390321074,0.5210179360967893,199209.66999999998,475397.0,42080.0,1095907.6099999999,100820.58909999998,0.040352733300153716,164800.0,0.2054668815291576,2614526.5164000015,0.758253854977043,0.08713236548607524,0.07361962052885604,0.07920033516627802,0.030760061945657072,1982474.81,227809.88,207071.3764000014,801849.4500000001,467476.56,279.0,0.005637815082320197,0.035788665942908304,1.0197432798688792,0.030150850860588108,1982474.8100000003,0.08713236548607524,0.07920033516627802,1
2026-05,May,2391924.0,2821795.0,1444167.4557,1377627.5443,0.48820964822037033,0.5117903517796296,191689.0,484768.0,41372.0,951562.0,426065.54429999995,0.15099096295088762,357960.0,0.2026686466626866,2702874.1877999995,0.7946860011816937,0.06595567814612285,0.06826946323764808,0.07060788795180181,0.014829096829410153,2147936.28,178269.9,190844.23779999968,835792.0599999999,528754.84,217.0,0.033791052814276856,0.10940113565961607,3.2259775320039266,0.07561008284533921,2147936.28,0.06595567814612285,0.07060788795180181,0
2026-06,Jun,2131326.41,2189620.41,1197788.3783,991832.0317000002,0.45296985138168316,0.5470301486183169,183378.0,469673.0,43442.0,866838.0,124994.03170000017,0.05708479475673144,0.0,0.22036652752780367,2408398.8433000003,0.7834887461640228,0.08258595977710498,0.06031151792157979,0.07307399843244244,0.01259905766527486,1886953.39,198899.93,175991.3333000004,1251532.94,399617.56,237.0,-0.10894894235770025,-0.17060284555476157,-0.7066319176187836,-0.06165390319706132,1886953.39,0.08258595977710498,0.07307399843244244,1
