period,month,sales_value,total_incomes,cogs,gross_profit,gross_margin,cogs_ratio,operational_expenses,staff_salary,foodmandu_charges,total_expenses,profit,profit_margin,bread_income,salary_to_sales
2026-01,Jan,2142381.4,2357582.4,1124957.2887500003,1232625.1112499996,0.5228343710277102,0.4771656289722897,128733.5,392496.0,48181.0,727858.47,504766.64124999964,0.21410349909721063,143290.0,0.18320547405798054
2026-02,Feb,1916459.53,2052138.61,1096534.9385000002,955603.6714999999,0.4656623421261003,0.5343376578738998,182490.0,398076.0,53798.0,780567.84,175035.83149999997,0.08529435129140714,135679.08,0.20771427403948362
2026-03,Mar,2300768.9699999997,2558114.3299999996,1256775.7532999997,1301338.5766999999,0.5087100922107731,0.4912899077892269,213344.91,524754.0,39595.0,1251421.05,49917.52669999981,0.019513407244780893,0.0,0.22807765874902253
2026-04,Apr,2313740.2800000003,2498482.2800000003,1301754.0809000004,1196728.1990999999,0.47898206390321074,0.5210179360967893,199209.66999999998,475397.0,42080.0,1095907.6099999999,100820.58909999998,0.040352733300153716,164800.0,0.2054668815291576
2026-05,May,2391924.0,2821795.0,1444167.4557,1377627.5443,0.48820964822037033,0.5117903517796296,191689.0,484768.0,41372.0,951562.0,426065.54429999995,0.15099096295088762,357960.0,0.2026686466626866
2026-06,Jun,2131326.41,2189620.41,1197788.3783,991832.0317000002,0.45296985138168316,0.5470301486183169,183378.0,469673.0,43442.0,866838.0,124994.03170000017,0.05708479475673144,0.0,0.22036652752780367
